"AFFLUENZA";"TOTALE ISCRITTI";"TOTALE VOTANTI";"PERC";"NUMERO SEZIONE";"DESCRIZIONE SEZIONE";"ISCRITTI MASCHI";"VOTANTI MASCHI";"ISCRITTI FEMMINE";"VOTANTI FEMMINE";"MASCHI FEMMINE ISCRITTI";"MASCHI FEMMINE VOTANTI";"MASCHI FEMMINE PERC"
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;50;"VIA BISMANTOVA,23";280;202;325;236;605;438;72,4
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;51;"VIA BISMANTOVA,23";301;196;354;216;655;412;62,9
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;52;"VIA DELLA CANALINA,21";270;211;325;220;595;431;72,44
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;53;"VIA M. K. GANDHI,16/C";338;238;359;258;697;496;71,16
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;54;"VIA M. K. GANDHI,16/C";358;270;390;274;748;544;72,73
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;55;"VIA M. K. GANDHI,16/C";365;270;434;307;799;577;72,22
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;56;"VIA DELLA CANALINA,21";399;313;455;361;854;674;78,92
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;57;"VIA DELLA CANALINA,21";337;246;369;258;706;504;71,39
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;58;"VIA DELLA CANALINA,21";408;297;458;326;866;623;71,94
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;59;"VIA F.LLI ROSSELLI,41/1";438;343;459;358;897;701;78,15
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;60;"VIA B. PASCAL,81";343;276;375;287;718;563;78,41
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;61;"VIA B. PASCAL,81";439;330;483;345;922;675;73,21
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;62;"VIA B. PASCAL,81";329;255;359;265;688;520;75,58
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;63;"VIA B. PASCAL,81";397;317;422;345;819;662;80,83
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;64;"VIA B. PASCAL,81";382;303;419;328;801;631;78,78
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;65;"VIA GHIARDA,28";386;311;395;296;781;607;77,72
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;66;"VIA R. IOTTI,2";304;193;313;207;617;400;64,83
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;67;"VIALE UMBERTO I,44";379;242;401;252;780;494;63,33
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;68;"VIALE UMBERTO I,44";265;190;277;200;542;390;71,96
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;69;"VIA E. CIALDINI,3";312;227;380;259;692;486;70,23
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;70;"VIA E. CIALDINI,3";358;247;445;289;803;536;66,75
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;71;"VIA J. WIBICKJ,30";293;202;332;221;625;423;67,68
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;72;"VIA J. WIBICKJ,30";289;186;340;216;629;402;63,91
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;73;"VIA J. WIBICKJ,30";306;195;344;217;650;412;63,38
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;74;"VIA MEDAGLIE D'ORO RESIST.,2";276;186;313;203;589;389;66,04
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;75;"VIA MEDAGLIE D'ORO RESIST.,2";261;184;311;204;572;388;67,83
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;76;"VIA MEDAGLIE D'ORO RESIST.,2";266;209;275;197;541;406;75,05
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;77;"VIA MEDAGLIE D'ORO RESIST.,2";316;242;336;242;652;484;74,23
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;78;"VIA M.L. KING, 1/A";334;255;394;289;728;544;74,73
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;79;"VIA M.L. KING, 1/A";408;332;441;322;849;654;77,03
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;80;"VIA M.L. KING, 1/A";375;295;436;337;811;632;77,93
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;81;"VIA M.L. KING, 1/A";381;296;416;324;797;620;77,79
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;82;"VIA M.L. KING, 1/A";350;307;423;337;773;644;83,31
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;83;"VIA A. TASSONI,136";390;335;455;365;845;700;82,84
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;84;"VIA A. TASSONI,136";448;353;468;347;916;700;76,42
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;85;"VIA E. FERMI,38";407;311;464;343;871;654;75,09
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;86;"VIA E. FERMI,38";442;323;482;347;924;670;72,51
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;87;"VIA P. G. TERRACHINI,20";315;227;357;243;672;470;69,94
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;88;"VIA P. G. TERRACHINI,20";324;200;344;230;668;430;64,37
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;89;"VIA P. G. TERRACHINI,20";290;220;360;252;650;472;72,62
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;90;"VIA M.L. KING, 1/A";366;274;389;288;755;562;74,44
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;91;"VIA P. G. TERRACHINI,20";247;164;305;211;552;375;67,93
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;92;"VIA E. TORRICELLI,35";332;233;370;249;702;482;68,66
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;93;"VIA E. TORRICELLI,35";295;219;328;229;623;448;71,91
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;94;"VIA A. TASSONI,136";452;329;499;362;951;691;72,66
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;95;"VIA EMILIA ALL'OSPIZIO,78/80";459;277;510;304;969;581;59,96
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;96;"VIA J. F. KENNEDY,20/A";431;289;446;265;877;554;63,17
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;97;"VIA DON L.STURZO,9";432;222;512;260;944;482;51,06
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;98;"VIA DON L.STURZO,9";392;264;405;270;797;534;67
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;99;"VIA DON L.STURZO,9";371;233;424;265;795;498;62,64
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;100;"VIA GATTALUPA,1";497;369;555;417;1052;786;74,71
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;101;"VIA GATTALUPA,1";494;359;500;341;994;700;70,42
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;102;"VIA L. PASTEUR,17";424;280;414;274;838;554;66,11
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;103;"VIA L. PASTEUR,17";410;312;445;324;855;636;74,39
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;104;"VIA L. E F. SOCINI,19/B";501;330;497;315;998;645;64,63
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;105;"VIA F. CONFALONIERI,1";478;321;487;325;965;646;66,94
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;106;"VIA V. MAZZELLI,2";322;272;326;265;648;537;82,87
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;107;"VIA V. MAZZELLI,2";406;309;410;299;816;608;74,51
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;108;"VIA DELLA TROMBA 36";440;304;431;295;871;599;68,77
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;109;"VIA N. LASAGNI,5/A";384;253;344;227;728;480;65,93
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;110;"VIA N. LASAGNI,5/A";379;267;373;249;752;516;68,62
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;111;"VIA MAKALLE',18";299;190;362;231;661;421;63,69
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;112;"VIA MAKALLE',18";330;215;342;207;672;422;62,8
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;113;"VIA A. VENERI,57";396;232;375;207;771;439;56,94
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;114;"VIA A. VENERI,57";514;289;510;298;1024;587;57,32
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;115;"VIA CASSALA,10";367;214;363;206;730;420;57,53
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;116;"VIA CASSALA,10";350;203;359;204;709;407;57,4
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;117;"VIA F. CAVALLOTTI,56";552;336;520;307;1072;643;59,98
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;118;"VIA DEGLI AZZARRI,7";495;355;490;347;985;702;71,27
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;119;"VIA DEGLI AZZARRI,7";478;330;501;324;979;654;66,8
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;120;"VIA L. VAN BEETHOVEN,48/1";406;289;421;282;827;571;69,04
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;121;"VIA L. VAN BEETHOVEN,48/1";430;278;463;296;893;574;64,28
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;122;"VIA L. VAN BEETHOVEN,131";388;245;370;228;758;473;62,4
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;123;"VIALE ISONZO,36";321;219;346;223;667;442;66,27
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;124;"VIA G. BOLOGNESI,2";409;257;413;256;822;513;62,41
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;125;"VIA G. BOLOGNESI,2";369;234;384;239;753;473;62,82
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;126;"VIA SALVADOR ALLENDE,3";442;270;472;285;914;555;60,72
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;127;"VIA SALVADOR ALLENDE,3";400;269;393;260;793;529;66,71
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;128;"VIA SALVADOR ALLENDE,3";473;288;458;293;931;581;62,41
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;129;"VIA G. RINALDI,40/A";508;356;499;323;1007;679;67,43
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;130;"VIA R. IOTTI,2";369;209;372;216;741;425;57,35
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;131;"VIA E. FERRI,14";419;275;423;301;842;576;68,41
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;132;"VIA E. FERRI,14";407;278;429;293;836;571;68,3
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;133;"VIA E. FERRI,14";456;317;441;285;897;602;67,11
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;134;"VIALE RISORGIMENTO,80";0;52;0;52;0;104;0
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;135;"VIALE RISORGIMENTO,80";0;65;0;56;0;121;0
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;136;"VIA L. VAN BEETHOVEN,131";471;285;498;304;969;589;60,78
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;137;"VIA BISMANTOVA,23";341;221;355;230;696;451;64,8
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;138;"VIA M. K. GANDHI,16/C";331;241;402;281;733;522;71,21
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;139;"VIA F.LLI ROSSELLI,41/1";428;312;518;352;946;664;70,19
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;140;"VIALE ISONZO,36";429;286;452;296;881;582;66,06
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;141;"VIA E. FERMI,38";411;307;453;341;864;648;75
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;142;"VIA D. FREDDI,41";456;318;455;324;911;642;70,47
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;143;"VIA DON L.STURZO,9";397;296;435;310;832;606;72,84
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;144;"VIA J. F. KENNEDY,20/A";372;223;394;198;766;421;54,96
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;145;"VIA J. F. KENNEDY,20/A";325;185;357;200;682;385;56,45
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;146;"VIA N. LASAGNI,5/A";390;247;360;226;750;473;63,07
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;147;"VIA M.L. KING, 1/A";493;394;532;426;1025;820;80
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;148;"VIA MEDAGLIE D'ORO RESIST.,2";327;260;349;263;676;523;77,37
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;149;"VIA PREMUDA,36";371;249;394;271;765;520;67,97
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;150;"VIA A. TASSONI,136";452;337;452;348;904;685;75,77
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;151;"VIA P. G. TERRACHINI,20";272;187;317;216;589;403;68,42
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;152;"VIA E. TORRICELLI,35";523;383;507;386;1030;769;74,66
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;153;"VIALE UMBERTO I,44";264;169;306;200;570;369;64,74
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;154;"VIA G. BRUNO,29";408;219;382;189;790;408;51,65
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;155;"VIA R. FRANCHETTI,8";610;144;654;162;1264;306;24,21
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;156;"VIA B. PASCAL,81";357;255;405;284;762;539;70,73
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;157;"VIA SALVADOR ALLENDE,3";356;260;406;296;762;556;72,97
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;158;"VIA F. P. TOSTI,4";209;130;256;170;465;300;64,52
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;159;"VIA J. WIBICKJ,30";322;221;377;239;699;460;65,81
"ELEZIONE CONSIGLIO REGIONALE";125035;84273;67,4;160;"VIA MEDAGLIE D'ORO RESIST.,2";331;251;389;296;720;547;75,97
